City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
rikitea,-23.1229544,-134.9680141,26.55,80,13,5.1,PF,1647611653
yeppoon,-23.1348035,150.7436625,24.01,75,97,7.61,AU,1647611654
punta arenas,-53.1625688,-70.907822,6.16,65,0,3.09,CL,1647611655
mount gambier,-37.8246698,140.7820067624113,11.11,87,0,3.6,AU,1647611657
puerto ayora,-0.7471674,-90.3134198,27.33,74,0,1.84,EC,1647611663
comodoro rivadavia,-45.8632024,-67.4752615,12.25,37,0,4.63,AR,1647611665
camacupa,-12.0203585,17.4763605,24.02,61,71,1.78,AO,1647611667
lorengau,-2.0329567,147.2789185,28.06,71,13,4.53,PG,1647611668
bredasdorp,-34.533055,20.042778,25.56,53,3,6.24,ZA,1647611670
mataura,-46.192734,168.8642685,12.49,95,100,1.77,NZ,1647611671
atuona,-9.77932315,-139.06194910808324,20.57,70,0,8.14,PF,1647611672
cururupu,-1.824255,-44.872996,28.98,72,100,1.96,BR,1647611673
jaguaribe,-5.8854585,-38.6212957,31.9,49,92,2.3,BR,1647611676
ushuaia,-54.806115899999995,-68.3184972880496,2.83,75,75,9.26,AR,1647611677
hermanus,-34.4175,19.2361111,30.47,64,7,8.02,ZA,1647611678
grand river south east,-20.2907247,57.7851931,29.16,94,75,2.57,MU,1647611682
sao joao da barra,-21.6348588,-41.0487079,30.06,73,0,5.36,BR,1647611683
bluff,-46.6014038,168.3398682,12.74,85,100,3.64,NZ,1647611686
busselton,-33.644499,115.3488754,20.98,83,100,3.81,AU,1647611689
caravelas,-17.7296514,-39.2660082,29.38,61,36,3.02,BR,1647611690
sao felix do xingu,-6.6386974,-51.9787582,26.39,83,99,0.53,BR,1647611691
airai,-8.92655,125.40922,16.17,94,100,0.79,TL,1647611693
arraial do cabo,-22.9662839,-42.024427,29.99,62,0,7.2,BR,1647611694
hobart,-42.8825088,147.3281233,11.68,81,46,0.51,AU,1647611695
avarua,-21.2074736,-159.7708145,22.99,100,84,1.03,CK,1647611701
tsihombe,-25.318547,45.484057,23.57,85,99,6.07,MG,1647611704
bambous virieux,-20.347199500000002,57.76474767388835,29.18,94,75,2.57,MU,1647611705
kirakira,-10.4568963,161.9201736,26.65,83,100,1.52,SB,1647611706
lebu,-37.6099644,-73.6559477,13.01,55,1,6.61,CL,1647611707
carnarvon,-24.8826131,113.6576486,26.99,74,44,7.2,AU,1647611711
cape town,-33.928992,18.417396,23.36,62,0,9.77,ZA,1647611713
ngunguru,-35.6333633,174.5007751,17.22,88,92,3.04,NZ,1647611714
chuy,-33.6937948,-53.4561114,21.94,83,66,7.57,BR,1647611716
cidreira,-30.1657063,-50.218331,28.75,58,82,0.92,BR,1647611721
port alfred,-33.5981844,26.8914772,25.55,64,0,5.91,ZA,1647611722
mahebourg,-20.4111041,57.7060616,29.08,94,75,2.57,MU,1647611725
port elizabeth,-33.9617051,25.6207519,26.06,57,0,3.6,ZA,1647611727
dunedin,-45.8740984,170.5035755,12.11,77,100,1.34,NZ,1647611729
ahipara,-35.1664105,173.1562074,16.58,91,90,1.53,NZ,1647611730
sao sebastiao,-23.8027866,-45.4070527,32.25,55,4,1.13,BR,1647611731
chirongui,-12.9356731,45.1495113,29.89,70,88,2.24,YT,1647611734
port-gentil,-0.7149116,8.7797434,27.99,89,100,5.14,GA,1647611735
kalabo,-14.9950389,22.6745467,27.36,53,100,0.28,ZM,1647611737
samusu,-13.9974088,-171.4288872,27.68,75,84,6.21,WS,1647611737
rawson,-43.2991348,-65.1056655,15.3,29,4,6.08,AR,1647611741
kavieng,-2.573474,150.795224,28.31,69,88,6.48,PG,1647611745
mar del plata,-37.9977225,-57.5482703,17.8,74,75,8.94,AR,1647611746
antofagasta,-23.6463741,-70.3980033,22.96,64,41,3.58,CL,1647611751
byron bay,-28.6483333,153.6177778,22.94,70,99,4.02,AU,1647611754
luderitz,-26.6500086,15.157266,21.8,64,7,2.92,NA,1647611756
vaini,-21.1925671,-175.1772797,24.16,94,100,4.63,TO,1647611758
mackay,-21.141956,149.1865149,25.97,78,75,6.69,AU,1647611760
kupang,-10.1632209,123.6017755,25.0,88,100,2.62,ID,1647611762
oriximina,-1.7669992,-55.868285,25.48,92,98,1.66,BR,1647611764
mago,-15.8081414,31.7499791,23.26,85,100,4.4,MZ,1647611769
new norfolk,-42.7801998,147.0615332,11.64,65,51,0.75,AU,1647611771
broome,-17.9566909,122.2240181,28.94,70,69,2.06,AU,1647611780
jacobina,-11.1851561,-40.5112434,28.39,54,74,3.81,BR,1647611783
faanui,-16.48243875,-151.73383197031578,26.63,68,0,3.45,PF,1647611786
itarema,-2.9224684,-39.9152184,28.59,71,71,5.2,BR,1647611788
cabinda,-5.5576435,12.1919468,28.37,74,78,6.59,AO,1647611789
soyo,-6.1333775,12.3717566,29.56,67,80,6.2,AO,1647611799
aitape,-3.1510222,142.3594389,26.28,87,10,2.39,PG,1647611805
tautira,-27.145219,-109.430579,17.42,94,20,2.06,CL,1647611807
nguiu,-11.7625858,130.6321091,25.74,85,92,2.07,AU,1647611809
beloha,-25.173872,45.061465,23.18,82,98,6.22,MG,1647611813
port lincoln,-34.7284175,135.8563199414681,17.28,85,0,6.01,AU,1647611818
imbituba,-28.241827,-48.6643444,29.39,62,7,1.5,BR,1647611821
east london,-33.0191604,27.8998573,26.64,69,0,6.69,ZA,1647611826
alice springs,-23.6983884,133.8812885,24.75,41,96,0.0,AU,1647611827
vanimo,-2.6847646,141.3009131,26.58,88,37,2.45,PG,1647611828
merauke,-8.4902766,140.395582,27.63,78,17,2.56,ID,1647611830
yulara,-25.2410108,130.9869405,30.91,25,66,4.12,AU,1647611835
saldanha,-32.9977778,17.9455556,30.15,73,34,9.04,ZA,1647611835
vila velha,-20.3297037,-40.2920174,31.97,63,40,4.63,BR,1647611836
vaitupu,-7.4769458,178.6807836433052,28.49,71,74,9.2,TV,1647611841
wewak,-3.5542197,143.6270904,27.83,78,47,3.76,PG,1647611841
bengkulu,-3.7922858,102.2623797,25.05,90,100,4.46,ID,1647611842
chegutu,-18.130479,30.146014,18.86,77,100,4.02,ZW,1647611844
leopold,-38.1891547,144.4644962,17.33,78,100,3.6,AU,1647611846
bandrele,-12.9123008,45.1938968,29.99,74,75,4.63,YT,1647611848
huarmey,-10.0687481,-78.152199,22.88,76,13,3.65,PE,1647611849
te anau,-45.41449,167.717489,11.83,83,100,1.3,NZ,1647611850
santa maria,-29.6860512,-53.8069214,28.58,65,0,1.54,BR,1647611852
charters towers,-20.2089615,145.97411116537643,22.41,73,60,4.7,AU,1647611862
gurupi,-11.72794,-49.068046,28.38,72,27,1.97,BR,1647611878
maceio,-9.6476843,-35.7339264,30.45,54,75,6.17,BR,1647611885
port hedland,-20.3111814,118.5801181,30.02,70,49,2.06,AU,1647611886
lucapa,-8.4195244,20.7410918,23.61,81,82,1.76,AO,1647611757
bundaberg,-24.8653253,152.3516785,21.17,93,91,3.09,AU,1647611889
linhares,-19.3816944,-40.0612213,31.1,54,22,0.8,BR,1647611892
kruisfontein,-34.0119558,24.7433295,25.03,49,0,4.85,ZA,1647611897
